A1 Water	A2 alpha_Cyclodextrin	A3 Dextrin	A4 Glycogen	A5 Tween_40	A6 Tween_80	A7 N_Acetyl_D_Galactosamine	A8 N_Acetyl_D_Glucosamine	A9 Adonitol	A10 L_Arabinose	A11 D_Arabitol	A12 D_Cellobiose
B1 I_Erythritol	B2 D_Fructose	B3 L_Fucose	B4 D_Galactose	B5 Gentiobiose	B6 alpha_D_Glucose	B7 M_Inositol	B8 alpha_D_Lactose	B9 Lactulose	B10 Maltose	B11 D_Mannitol	B12 D_Mannose
C1 D_Melibiose	C2 beta_Methyl_D_Glucoside	C3 D_Psicose	C4 D_Raffinose	C5 L_Rhamnose	C6 D_Sorbitol	C7 Sucrose	C8 D_Trehalose	C9 Turanose	C10 Xylitol	C11 Pyruvic_Acid_Methyl_Ester	C12 Succinic_Acid_Mono_Methyl_ESter
D1 Acetic_Acid	D2 Cis_Aconitic_Acid	D3 Citric_Acid	D4 Formic_Acid	D5 D_Galactonic_Acid_Lactone	D6 D_Galacturonic_Acid	D7 D_Gluconic_Acid	D8 D_Glucosaminic_Acid	D9 D_Glucuronic_Acid	D10 alpha_Hydroxybutyric_Acid	D11 beta_Hydroxybutyric_Acid	D12 gamma_Hydroxy_Butyric_Acid
E1 P_Hydroxy_Phenylacetic_Acid	E2 Itaconic_Acid	E3 alpha_Keto_Butyric_Acid	E4 alpha_Keto_Glutaric_Acid	E5 alpha_Keto_Valeric_Acid	E6 D_L_Lactic_Acid	E7 Malonic_Acid	E8 Propionic_Acid	E9 Quinic_Acid	E10 D_Saccharic_Acid	E11 Sebacic_Acid	E12 Succinic_Acid
F1 Bromo_Succinic_Acid	F2 Succinamic_Acid	F3 Glucuronamide	F4 L_Alaninamide	F5 D_Alanine	F6 L_Alanine	F7 L_Alanyl_Glycine	F8 L_Asparagine	F9 L_Aspartic_Acid	F10 L_Glutamic_Acid	F11 Glycyl_L_Aspartic_Acid	F12 Glycyl_L_Glutamic_Acid
G1 L_Histidine	G2 Hydroxy_L_Proline	G3 L_Leucine	G4 L_Ornithine	G5 L_Phenylalanine	G6 L_Proline	G7 L_Pyroglutamic_Acid	G8 D_Serine	G9 L_Serine	G10 L_Threonine	G11 D_L_Carnitine	G12 gamma_Amino_Butyric_Acid
H1 Urocanic_Acid	H2 Inosine	H3 Uridine	H4 Thymidine	H5 Phenyethylamine	H6 Putrescine	H7 X2_Aminoethanol	H8 X2_3_Butanediol	H9 Glycerol	H10 D_L_alpha_Glycerol_Phosphate	H11 alpha_D_Glucose_1_Phosphate	H12 D_Glucose_6_Phosphate
