Strain_ID	GWAS_ID	dataset	Water	alpha_Cyclodextrin	Dextrin	Glycogen	Tween_40	Tween_80	N_Acetyl_D_Galactosamine	N_Acetyl_D_Glucosamine	Adonitol	L_Arabinose	D_Arabitol	D_Cellobiose	I_Erythritol	D_Fructose	L_Fucose	D_Galactose	Gentiobiose	alpha_D_Glucose	M_Inositol	alpha_D_Lactose	Lactulose	Maltose	D_Mannitol	D_Mannose	D_Melibiose	beta_Methyl_D_Glucoside	D_Psicose	D_Raffinose	L_Rhamnose	D_Sorbitol	Sucrose	D_Trehalose	Turanose	Xylitol	Pyruvic_Acid_Methyl_Ester	Succinic_Acid_Mono_Methyl_ESter	Acetic_Acid	Cis_Aconitic_Acid	Citric_Acid	Formic_Acid	D_Galactonic_Acid_Lactone	D_Galacturonic_Acid	D_Gluconic_Acid	D_Glucosaminic_Acid	D_Glucuronic_Acid	alpha_Hydroxybutyric_Acid	beta_Hydroxybutyric_Acid	gamma_Hydroxy_Butyric_Acid	P_Hydroxy_Phenylacetic_Acid	Itaconic_Acid	alpha_Keto_Butyric_Acid	alpha_Keto_Glutaric_Acid	alpha_Keto_Valeric_Acid	D_L_Lactic_Acid	Malonic_Acid	Propionic_Acid	Quinic_Acid	D_Saccharic_Acid	Sebacic_Acid	Succinic_Acid	Bromo_Succinic_Acid	Succinamic_Acid	Glucuronamide	L_Alaninamide	D_Alanine	L_Alanine	L_Alanyl_Glycine	L_Asparagine	L_Aspartic_Acid	L_Glutamic_Acid	Glycyl_L_Aspartic_Acid	Glycyl_L_Glutamic_Acid	L_Histidine	Hydroxy_L_Proline	L_Leucine	L_Ornithine	L_Phenylalanine	L_Proline	L_Pyroglutamic_Acid	D_Serine	L_Serine	L_Threonine	D_L_Carnitine	gamma_Amino_Butyric_Acid	Urocanic_Acid	Inosine	Uridine	Thymidine	Phenyethylamine	Putrescine	X2_Aminoethanol	X2_3_Butanediol	Glycerol	D_L_alpha_Glycerol_Phosphate	alpha_D_Glucose_1_Phosphate	D_Glucose_6_Phosphate
USDA1005	1005	1	0	0.190609670638	0.66783461808	0.334968465312	0.115627189909	0.0749824807288	0.175192711983	0.463910301331	0.459705676244	1.15136650315	0.621583742116	0.627890679748	0.453398738612	0.964260686755	0.782761037141	0.958654519972	0.499649614576	1.00210231254	0.576033637001	0.81709880869	0.665732305536	0.875963559916	0.672039243167	0.987386124737	0.297827610371	0.386825508059	0.68465311843	0.312543798178	0.73230553609	0.805886475123	1.0336370007	0.521373510862	1.0511562719	0.453398738612	0.378416257884	0.629292221444	0.289418360196	0.0953048353189	0.264190609671	0.77295024527	0.306236860547	0.233356692362	0.281709880869	0.318149964961	0.161177295025	0.491941135249	0.25087596356	0.496145760336	0	0.16608269096	0.172389628591	0.265592151367	0.170287316048	0.665732305536	0.290119131044	0.368605466013	0.220742817099	0.122634898388	0	0.922915206727	0.469516468115	0.513665031535	0.176594253679	0.876664330764	0.505255781359	0.630693763139	0.632095304835	0.803784162579	0.964961457603	0.917309039944	0.437981779958	0.860546601261	0.421163279608	0.900490539594	0.504555010512	0.489838822705	0.290819901892	0.993693062369	0.165381920112	0.381920112123	0.844428871759	0.379117028732	0.232655921514	0.250175192712	1.10861948143	0.527680448493	0.489138051857	0.129642606868	0.167484232656	0.233356692362	0.170287316048	0.2880168185	0.546601261388	0.188507358094	0.166783461808	0.204625087596
USDA1006	1006	1	0	0.116191776147	0.54205766934	0.280498208497	0	0	0.360859921515	0.891144855827	0.652619006995	0.965876130353	0.907012455212	0.910595461525	0.64442927828	1.00272990957	0.932093499403	0.967411704487	0.895239720184	0.961269407951	0.985326736052	1.03497696639	0.722231701075	1.05647500427	0.883466985156	0.909571745436	0.770346357277	0.807200136495	1.00887220611	0.639310697833	0.873229824262	1.00426548371	1.03600068248	1.02627537963	1.04521412728	0.759597338338	0.65313086504	0.666951032247	0.707899675823	0.0317351987715	0.124381504863	0.07729056475	0.130011943354	0.134618665757	0.17966217369	0.0460672240232	0.0747312745265	0.750895751578	0.715577546494	0.304555536598	0.116191776147	0.0204743217881	0.833304896775	0.431496331684	0.549223681966	0.923903770688	0.160211567992	0.871694250128	0.0993004606722	0.105954615253	0.0281521924586	0.888073707558	0.639822555878	0.571233577888	0.65415458113	0.900870158676	0.758061764204	0.950520389012	0.930046067224	0.942842518342	0.89370414605	0.984303019962	0.823579593926	0.788261388841	0.813342433032	0.912642893704	0.793891827333	0.787237672752	0.00204743217881	0.957686401638	0.156628561679	0.430472615595	0.920320764375	0.79030882102	0.398737416823	0.702269237332	0.920320764375	0.288687937212	1.04367855315	0.437126770176	0.07729056475	0.0127964511176	0.0470909401126	0.0255929022351	0.504180174032	0.0537450946937	0.08599215151	0.0342944889951
USDA1007	1007	1	0	0.146462969113	0.847891066091	0.520092992361	0.453337761541	0.20126203919	0.509133178346	0.815011624045	0.551976087679	0.721355031551	0.742278312853	0.795084689472	0.22318166722	1.01727000996	0.934573231485	0.973430753902	1.06908003985	0.938558618399	1.06409830621	0.978412487546	1.02424443706	1.00332115576	0.894719362338	0.882763201594	0.712387910993	0.939554965128	1.02424443706	0.819993357688	0.937562271671	1.05911657257	1.04417137164	1.0013284623	1.01428096978	0.87080704085	0.9525074726	0.760212553969	0.907671869811	0.590833610096	0.87080704085	0.974427100631	0.752241780139	0.768183327798	0.946529392228	0.766190634341	0.798073729658	0.96745267353	0.909664563268	0.787113915643	0.210229159748	0.368648289605	1.03121886416	0.792095649286	0.355695782132	0.936565924942	0.504151444703	0.745267353039	0.659581534374	0.750249086682	0	0.749252739954	0.828960478246	0.958485552972	0.925606110927	0.893723015609	0.951511125872	0.922617070741	0.931584191299	0.994354035204	0.966456326802	0.905679176353	0.966456326802	0.800066423115	0.819993357688	0.926602457655	0.851876453006	0.883759548323	0.416472932581	0.869810694122	0.64762537363	0.865825307207	0.887744935237	0.899701095981	0.23812686815	0.727333111923	0.82597143806	0.935569578213	0.895715709067	0.603786117569	0.430421786782	0.419461972767	0.158419129857	0.433410826968	0.745267353039	0.440385254068	0.58784456991	0.381600797077
USDA1008	1008	1	0	0.029197080292	0.571289537713	0.256447688564	0	0	0.210218978102	0.940145985401	0.440389294404	0.994160583942	0.917761557178	0.979075425791	0.615571776156	0.928467153285	0.881751824818	0.995133819951	0.966423357664	1.00924574209	0.986374695864	1.02433090024	0.913381995134	1.06812652068	0.858880778589	0.954257907543	0.539172749392	0.634549878345	0.909489051095	0.339659367397	0.905596107056	0.865693430657	1.06228710462	1.03260340633	1.06520681265	0.623357664234	0.619464720195	0.494890510949	0.435523114355	0.0428223844282	0.0447688564477	0.893430656934	0.14695863747	0.0671532846715	0.285644768856	0.108515815085	0.134793187348	0.524574209246	0.570316301703	0.393187347932	0	0.0155717761557	0.609732360097	0.148418491484	0.379562043796	0.823844282238	0.105596107056	0.732846715328	0.115328467153	0.0301703163017	0.000973236009732	0.853527980535	0.492944038929	0.275912408759	0.366909975669	0.612652068127	0.367396593674	0.628710462287	0.680778588808	0.492944038929	0.683698296837	0.765450121655	0.54695863747	0.676885644769	0.765450121655	0.839902676399	0.67299270073	0.58296836983	0	0.772262773723	0.0506082725061	0.195620437956	0.860827250608	0.507055961071	0.266666666667	0.558637469586	0.94598540146	0.920194647202	0.8199513382	0.34501216545	0	0.00827250608273	0.0301703163017	0.190754257908	0.265693430657	0.0121654501217	0.0374695863747	0.0423357664234
USDA1018	1018	1	0	0.199257884972	0.522077922078	0.385157699443	0.0790352504638	0.0857142857143	0.371243042672	0.777551020408	0.493135435993	1.02356215213	0.836549165121	0.769758812616	0.615584415584	0.980705009276	0.852133580705	0.952319109462	0.905565862709	0.985157699443	0.922263450835	0.92560296846	0.524304267161	0.950649350649	0.716883116883	0.761966604824	0.546567717996	0.632838589981	0.825417439703	0.499814471243	0.879406307978	0.85547309833	1.03413729128	0.984044526902	0.990166975881	0.547680890538	0.619480519481	0.715213358071	0.528200371058	0.0823747680891	0.173654916512	1.25510204082	0.277179962894	0.234322820037	0.292764378479	0.19146567718	0.229313543599	0.655102040816	0.605009276438	0.128571428571	0.0350649350649	0.0968460111317	0.638961038961	0.262152133581	0.517625231911	0.788682745826	0.199814471243	0.704081632653	0.174211502783	0.237105751391	0.122448979592	0.587755102041	0.445825602968	0.33840445269	0.633395176252	0.712987012987	0.614471243043	0.718552875696	0.715213358071	0.719666048237	0.528200371058	0.802040816327	0.72133580705	0.585528756957	0.691836734694	0.89387755102	0.729684601113	0.695176252319	0.144155844156	0.857142857143	0.263821892393	0.340074211503	0.901669758813	0.460296846011	0.339517625232	0.407977736549	0.928942486085	1.16716141002	0.712430426716	0.259925788497	0.0935064935065	0.183673469388	0.129684601113	0.0573283858998	0.637847866419	0.0923933209647	0.142486085343	0.0862708719852
USDA1022	1022	1	0	0	0.710905020787	0.223536936361	0.264790534058	0.195714742565	0.375119923249	0.771346338343	0.473936680524	1.15989766549	0.90278221938	1.0227054685	0.623600895427	0.977614326831	0.730092740646	0.950751519028	0.759833706428	0.944035817077	0.927726255197	0.840422129837	0.670610809082	0.976654940838	1.00735529261	0.889350815478	0.862488007675	0.631275983371	1.00159897665	0.852894147745	0.93540134314	0.864406779661	1.07834985609	1.02942117045	0.943076431084	0.510393348257	0.502718260313	0.148704828909	0.849056603774	0.0882635113527	0.0402942117045	1.19251678925	0.100735529261	0.111288775184	0.317556763671	0	0.218740006396	0.354013431404	0.484489926447	0.126638951071	0.394307643108	0	0.332906939559	0.217780620403	0.107451231212	0.912376079309	0.0498880716342	0.788615286217	0.0441317556764	0.32043492165	0.0163095618804	0.903741605373	0.673488967061	0.497921330349	0.313719219699	0.608250719539	0.528621682123	0.570834665814	0.791493444196	0.675407739047	0.875919411577	0.868244323633	0.739686600576	0.678285897026	0.797249760154	0.814518708027	0.642788615286	0.596738087624	0.00575631595779	0.793412216182	0.214902462424	0.160217460825	0.745442916533	0.275343779981	0.0757914934442	0.361688519348	1.22321714103	1.49376399105	1.01982731052	0.514230892229	0.641829229293	0.188999040614	0.472977294531	0.140070354973	0.384713783179	0	0.133354653022	0.0748321074512
USDA1023	1023	1	0	0.236581022641	0.689900788603	0.453319765963	0	0	0.713558890867	0.760875095396	0.728822182651	0.789112185195	0.800559654032	0.744848639023	0.80208598321	0.999745611804	0.980666497075	0.97532434495	0.959297888578	0.952429407276	0.949376748919	0.961587382345	0.949376748919	0.925718646655	0.924955482066	0.852454846095	0.825744085474	0.90282370898	0.715085220046	0.869244467057	0.983719155431	0.976850674129	1.04782498092	1.00814042228	0.90282370898	0.960824217756	0.976850674129	0.789875349784	0.795980666497	1.02874586619	1.05011447469	1.04706181633	0.969982192826	0.193080641058	1.00814042228	1.00890358687	0.637242431951	0.931060798779	0.919613329941	0.143474942763	0.815059781226	0.0870007631646	0.890613075553	0.970745357415	0.634189773595	0.926481811244	0.366319002798	0.818112439583	0.982955990842	0.935639786314	0.290765708471	0.762401424574	0.761638259985	0.988298142966	0.56550496057	0.96616636988	1.0279827016	1.00890358687	0.97608750954	1.02264054948	1.05316713305	0.988298142966	0.989824472144	0.818112439583	0.841770541847	0.82040193335	0.82955990842	0.737980157721	0.901297379802	0.742559145256	0.152632917833	0.758585601628	0.886797252607	0.865428644111	0.676926990588	0.329687102518	0.673874332231	0.906639531926	0.90282370898	0.831086237599	0.383871788349	0	0.606715848385	0.0152632917833	0.686848130247	0.205291274485	0.231238870516	0.238107351819
USDA1024A	1024	1	0	0.0553064275037	0.416292974589	0.257100149477	0	0	0	0.881165919283	0.68908819133	1.01494768311	0.886397608371	1.02840059791	0.765321375187	1.02316890882	0	0.905829596413	0.985799701046	0.961883408072	0.956651718984	0.912556053812	0.756352765321	1.03064275037	0.809417040359	0.940956651719	0.84379671151	0.717488789238	0.954409566517	0.79446935725	0.964125560538	1.02765321375	1.01494768311	1.03961136024	1.08968609865	0.576233183857	0.490284005979	0.487294469357	0.505979073244	0.0440956651719	0.0485799701046	1.07473841555	0.0919282511211	0.181614349776	0.194319880419	0.126307922272	0.0463378176383	0.5822122571	0.502989536622	0.235426008969	0	0.15620328849	0.292227204783	0.0732436472347	0.396113602392	0.879671150972	0.026158445441	0.856502242152	0.034379671151	0.10687593423	0.00747384155456	0.831838565022	0.479073243647	0.340059790732	0.620328849028	0.779521674141	0.658445440957	0.630044843049	0.879671150972	0.869955156951	0.875186846039	0.913303437967	0.615844544096	0.801195814649	1.06427503737	0.945440956652	0	0.548579970105	0	0.878923766816	0.0627802690583	0.241405082212	0.88490284006	0.63153961136	0.886397608371	0.701046337818	1.02391629297	0.929745889387	0.994768310912	0.465620328849	0.0470852017937	0.0859491778774	0.0545590433483	0.0149476831091	0.455156950673	0.01644245142	0	0.0328849028401
USDA1025	1025	1	0	0.220874189796	0.533488449393	0.535482798737	0.0822669104205	0.0857570217716	0.634203091241	0.816187468838	0.894465680572	0.931859730763	0.838125311617	0.789263752701	0.831643676251	0.954794748213	0.856573043045	0.972245304969	0.896958617251	1.08891474157	1.04952634203	0.934352667442	0.834635200266	0.90194449061	0.900947315938	0.900448728602	0.693534984211	0.765830147914	0.795246800731	0.707495429616	0.875519361808	0.826657802892	0.956290510221	0.981718464351	0.894964267908	0.774306132624	0.790260927372	0.729433272395	0.705002492937	0.917400698022	0.971746717633	1.04105035732	0.778294831311	0.171514043543	0.946318763503	0.875020774472	0.147581851421	0.618746883829	0.707994016952	0.105700515207	0.655642346684	0.120159547947	0.736413495097	0.842114010304	0.240817683231	0.840618248296	0.62472993186	0.729433272395	0.864051853083	0.83413661293	0.0618248296493	0.651653647997	0.646667774639	0.867043377098	0.660129632707	0.873026425129	0.653647997341	0.703506730929	0.864550440419	0.962772145588	0.932358318099	0.796742562739	0.711982715639	0.690543460196	0.818181818182	0.824164866212	0.822669104205	0.561907927539	0.651653647997	0.782283529998	0.778294831311	0.381917899285	0.890975569221	0.59680904105	0.709988366295	0.592820342363	0.547947482134	1.14326076118	0.887485457869	0.535482798737	0.0892471331228	0.493102875187	0.552434768157	0.290177829483	0.872029250457	0.156057836131	0.283696194117	0.206415157055
USDA1027	1027	1	0	0.0213928083751	0.603095129722	0.346381429222	0.00682749203459	0	0.312243969049	0.817478379609	0.617660446063	0.867546654529	0.79335457442	0.834774692763	0.699135184342	1.00273099681	0.85070550751	0.923076923077	0.881201638598	0.989076012745	0.933090578061	0.960400546199	0.874829312699	0.928538916705	0.836595357305	0.817478379609	0.794264906691	0.428311333637	0.819299044151	0.783340919436	0.938552571689	0.899408284024	1.00819299044	0.873008648157	0.98224852071	0.628129267183	0.528903049613	0.414201183432	0.739189804279	0.0682749203459	0.233955393719	0.943104233045	0.292216659081	0.182066454256	0.387346381429	0.292216659081	0.354119253528	0.713245334547	0.551661356395	0.223941738735	0.0728265817023	0.0509786071916	0.661356395084	0.471096950387	0.41647701411	0.805188893946	0.219845243514	0.739644970414	0.255803368229	0.223031406463	0.0919435593992	0.736003641329	0.516158397815	0.683204369595	0.614929449249	0.85798816568	0.791989076013	0.716431497497	0.869367319071	0.88620846609	0.860719162494	0.951297223487	0.741465634957	0.781975421029	0.862084660901	0.863905325444	0.6513427401	0.700045516614	0.120163859809	0.81110605371	0.272189349112	0.396449704142	0.868912152936	0.573964497041	0.581702321347	0.707328174784	0.988165680473	0.969959035048	0.905325443787	0.51570323168	0.12835685025	0.0714610832954	0.164770141102	0.118343195266	0.64087391898	0.0705507510241	0.19208010924	0.167501137915
